Sample	Mean	SD	Type
AAVS1_bulk	1.00	0.05	bulk
AAVS1_bulk	1.59	0.11	bulk
AAVS1_bulk	0.83	0.04	bulk
ENH_bulk	0.60	0.07	bulk
ENH_bulk	0.67	0.01	bulk
ENH_bulk	0.62	0.05	bulk
AAVS1_sorted	1.01	0.12	sorted
AAVS1_sorted	1.87	0.17	sorted
AAVS1_sorted	0.91	0.03	sorted
ENH_sorted	0.81	0.15	sorted
ENH_sorted	0.93	0.14	sorted
ENH_sorted	0.72	0.04	sorted
AAVS1_bulk	1.30	0.13	bulk
AAVS1_bulk	1.00	0.03	bulk
AAVS1_bulk	0.94	0.01	bulk
ENH_bulk	0.57	0.03	bulk
ENH_bulk	0.51	0.01	bulk
ENH_bulk	0.52	0.04	bulk
AAVS1_sorted	1.00	0.02	sorted
AAVS1_sorted	0.78	0.04	sorted
AAVS1_sorted	1.50	0.50	sorted
ENH_sorted	0.56	0.09	sorted
ENH_sorted	0.71	0.08	sorted
ENH_sorted	0.37	0.03	sorted
ENH_sorted	0.77	0.15	sorted
ENH_sorted	0.82	0.03	sorted
ENH_sorted	0.72	0.14	sorted
ENH_bulk	0.56	0.03	bulk
ENH_bulk	0.58	0.03	bulk
ENH_bulk	1.07	0.05	bulk
ENH_sorted	0.80	0.06	sorted
ENH_sorted	0.48	0.05	sorted
ENH_sorted	0.64	0.04	sorted
ENH_bulk	0.52	0.02	bulk
ENH_bulk	0.66	0.02	bulk
ENH_bulk	0.68	0.05	bulk
