Name	Coefficient	Coefficient_std_error	Coefficient_P_value
HSC	1.13081876545e-08	4.61156159773e-09	0.00710049988419
MPP	9.43114435903e-09	4.54005935321e-09	0.0188861363962
B	1.7446615551e-08	1.03256690633e-08	0.0455488684945
Ery	1.66062769358e-08	1.1618234441e-08	0.0764548779509
LMPP	5.50906885567e-09	4.55047736259e-09	0.113013377718
CMP	4.9421408407e-09	4.22971456129e-09	0.121315943268
CD8	1.70800162299e-08	1.5195010139e-08	0.130494999043
CD4	1.09639323849e-08	9.7995536286e-09	0.131608560357
NK	8.17169968059e-09	7.4331313304e-09	0.135805171119
MEP	1.45914316978e-08	1.33970373958e-08	0.138043075171
Mega	1.11702542329e-08	1.46771978982e-08	0.223310086298
GMP-C	3.14203101555e-09	5.50739483611e-09	0.284165478334
mDC	3.11825038425e-09	6.65426846707e-09	0.31967455582
CLP	1.38885594037e-09	6.57838197401e-09	0.416395160158
pDC	-1.51763526939e-09	7.05121946975e-09	0.585206070848
GMP-B	-1.90575022641e-09	6.57668196306e-09	0.614005359532
GMP-A	-3.01109367046e-09	7.58432909654e-09	0.654321861312
Mono	-1.06429712417e-08	7.53843709287e-09	0.920999590105
