p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
WBC_COUNT.ukbb_500k.sumstats.gz	0.1617	0.0527	3.0700	0.0021	0.0964	0.0087	1.1699	0.0234	0.0216	NA
RBC_COUNT.ukbb_500k.sumstats.gz	0.1667	0.0526	3.1690	0.0015	0.1651	0.0138	1.3494	0.0569	0.0001	NA
HGB.ukbb_500k.sumstats.gz	0.1584	0.0539	2.9385	0.0033	0.1100	0.0120	1.3145	0.0573	0.0058	NA
HCT.ukbb_500k.sumstats.gz	0.1536	0.0506	3.0362	0.0024	0.1007	0.0095	1.3137	0.0499	0.0097	NA
MCV.ukbb_500k.sumstats.gz	-0.0940	0.0553	-1.6991	0.0893	0.2013	0.0239	1.3070	0.0969	0.0262	NA
MCH.ukbb_500k.sumstats.gz	-0.0758	0.0583	-1.3017	0.1930	0.1673	0.0241	1.2348	0.0928	0.0170	NA
MCHC.ukbb_500k.sumstats.gz	0.0339	0.0645	0.5254	0.5993	0.0288	0.0050	1.0840	0.0202	-0.0097	NA
RDW.ukbb_500k.sumstats.gz	-0.0806	0.0536	-1.5031	0.1328	0.0969	0.0101	1.1467	0.0418	0.0563	NA
PLT_COUNT.ukbb_500k.sumstats.gz	0.2130	0.0912	2.3358	0.0195	0.2376	0.0206	1.3075	0.0504	0.0509	NA
PLT_CRIT.ukbb_500k.sumstats.gz	0.2727	0.1096	2.4886	0.0128	0.1757	0.0164	1.3525	0.0551	0.0493	NA
MPV.ukbb_500k.sumstats.gz	0.0139	0.0282	0.4936	0.6216	0.3510	0.0384	1.3321	0.0846	-0.0070	NA
PDW.ukbb_500k.sumstats.gz	-0.0018	0.0281	-0.0651	0.9481	0.1773	0.0213	1.3128	0.1042	0.0261	NA
LYMPH_COUNT.ukbb_500k.sumstats.gz	0.0385	0.0536	0.7179	0.4728	0.0348	0.0033	1.0727	0.0140	0.0034	NA
MONO_COUNT.ukbb_500k.sumstats.gz	0.1507	0.0659	2.2868	0.0222	0.0717	0.0110	1.2452	0.0525	0.0259	NA
NEUTRO_COUNT.ukbb_500k.sumstats.gz	0.1671	0.0495	3.3766	0.0007	0.1120	0.0113	1.1905	0.0285	0.0243	NA
EO_COUNT.ukbb_500k.sumstats.gz	0.1201	0.0386	3.1117	0.0019	0.1079	0.0117	1.2062	0.0355	0.0033	NA
BASO_COUNT.ukbb_500k.sumstats.gz	0.0635	0.0447	1.4198	0.1557	0.0232	0.0028	1.0604	0.0120	0.0086	NA
RETIC_COUNT.ukbb_500k.sumstats.gz	0.0367	0.0386	0.9518	0.3412	0.0512	0.0053	1.1254	0.0308	0.0109	NA
MEAN_RETIC_VOL.ukbb_500k.sumstats.gz	-0.1767	0.0587	-3.0118	0.0026	0.1361	0.0131	1.2863	0.0714	0.0400	NA
