p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
BASO_COUNT	0.0172	0.0699	0.2461	0.8056	0.0437	0.0063	1.0116	0.0075	0.0048	0.0039
EO_COUNT	0.1008	0.0625	1.6117	0.1070	0.1590	0.0212	1.0660	0.0205	-0.0011	0.0059
HCT	0.1863	0.0767	2.4284	0.0152	0.1074	0.0140	1.0940	0.0184	0.0083	0.0049
HGB	0.1792	0.0867	2.0660	0.0388	0.1218	0.0206	1.0896	0.0239	0.0063	0.0055
LYMPH_COUNT	0.0519	0.0623	0.8333	0.4047	0.1696	0.0173	1.0598	0.0171	-0.0028	0.0049
MCH	-0.0121	0.0929	-0.1306	0.8961	0.2200	0.0410	1.0663	0.0440	-0.0007	0.0069
MCHC	-0.0040	0.1170	-0.0339	0.9730	0.0583	0.0136	1.0181	0.0155	-0.0075	0.0048
MCV	-0.0138	0.0819	-0.1683	0.8663	0.2239	0.0333	1.0816	0.0367	0.0019	0.0069
MEAN_RETIC_VOL	-0.1818	0.0659	-2.7578	0.0058	0.1483	0.0169	1.0909	0.0237	0.0209	0.0055
MONO_COUNT	0.1846	0.0806	2.2911	0.0220	0.1549	0.0227	1.1122	0.0304	-0.0008	0.0043
MPV	-0.0159	0.0461	-0.3440	0.7308	0.3186	0.0451	1.0710	0.0366	0.0023	0.0053
NEUTRO_COUNT	0.1840	0.0577	3.1918	0.0014	0.1492	0.0184	1.0386	0.0163	0.0046	0.0047
PLT_COUNT	0.1525	0.0961	1.5878	0.1123	0.2232	0.0233	1.0970	0.0244	0.0229	0.0063
RBC_COUNT	0.1393	0.0577	2.4137	0.0158	0.1620	0.0159	1.1036	0.0179	0.0074	0.0048
RETIC_COUNT	0.0917	0.0694	1.3222	0.1861	0.1500	0.0158	1.0696	0.0241	0.0037	0.0052
WBC_COUNT	0.1655	0.0593	2.7925	0.0052	0.1768	0.0207	1.0433	0.0187	0.0053	0.0048
