p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
WBC_COUNT.ukbb_500k.sumstats.gz	0.1407	0.0523	2.6883	0.0072	0.1021	0.0089	1.1484	0.0245	0.0266	0.0057
RBC_COUNT.ukbb_500k.sumstats.gz	0.1205	0.0454	2.6540	0.0080	0.1790	0.0153	1.2778	0.0521	0.0102	0.0075
HGB.ukbb_500k.sumstats.gz	0.1529	0.0628	2.4358	0.0149	0.1188	0.0121	1.2672	0.0565	0.0061	0.0066
HCT.ukbb_500k.sumstats.gz	0.1425	0.0563	2.5308	0.0114	0.1091	0.0101	1.2697	0.0510	0.0121	0.0061
MCV.ukbb_500k.sumstats.gz	-0.0236	0.0623	-0.3787	0.7049	0.2154	0.0238	1.2206	0.0777	0.0103	0.0095
MCH.ukbb_500k.sumstats.gz	-0.0058	0.0702	-0.0832	0.9337	0.1799	0.0234	1.1531	0.0768	0.0008	0.0088
MCHC.ukbb_500k.sumstats.gz	0.0474	0.0807	0.5872	0.5571	0.0321	0.0052	1.0651	0.0204	-0.0134	0.0046
RDW.ukbb_500k.sumstats.gz	-0.0856	0.0641	-1.3356	0.1817	0.1051	0.0105	1.1048	0.0403	0.0626	0.0061
PLT_COUNT.ukbb_500k.sumstats.gz	0.1369	0.0730	1.8750	0.0608	0.2521	0.0217	1.2441	0.0555	0.0710	0.0088
PLT_CRIT.ukbb_500k.sumstats.gz	0.1597	0.0839	1.9040	0.0569	0.1862	0.0173	1.3119	0.0678	0.0775	0.0102
MPV.ukbb_500k.sumstats.gz	-0.0239	0.0353	-0.6762	0.4989	0.3707	0.0424	1.2392	0.0931	0.0076	0.0076
PDW.ukbb_500k.sumstats.gz	0.0139	0.0335	0.4151	0.6781	0.1934	0.0228	1.2368	0.0985	0.0272	0.0060
MONO_COUNT.ukbb_500k.sumstats.gz	0.1651	0.0687	2.4020	0.0163	0.0794	0.0122	1.2020	0.0519	0.0222	0.0050
NEUTRO_COUNT.ukbb_500k.sumstats.gz	0.1420	0.0441	3.2225	0.0013	0.1179	0.0115	1.1721	0.0312	0.0284	0.0062
EO_COUNT.ukbb_500k.sumstats.gz	0.0779	0.0526	1.4815	0.1385	0.1165	0.0127	1.1614	0.0378	0.0112	0.0066
RETIC_COUNT.ukbb_500k.sumstats.gz	0.0731	0.0547	1.3364	0.1814	0.0556	0.0055	1.1025	0.0279	0.0067	0.0047
BASO_COUNT.ukbb_500k.sumstats.gz	0.0055	0.0523	0.1043	0.9169	0.0257	0.0030	1.0487	0.0118	0.0160	0.0043
LYMPH_COUNT.ukbb_500k.sumstats.gz	0.0303	0.0711	0.4270	0.6694	0.0379	0.0035	1.0579	0.0132	0.0076	0.0045
MEAN_RETIC_VOL.ukbb_500k.sumstats.gz	-0.1252	0.0467	-2.6828	0.0073	0.1491	0.0142	1.2300	0.0588	0.0316	0.0072
