p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
WBC_COUNT.ukbb_500k.sumstats.gz	0.1675	0.0521	3.2127	0.0013	0.1021	0.0089	1.1484	0.0245	0.0216	NA
RBC_COUNT.ukbb_500k.sumstats.gz	0.1634	0.0468	3.4919	0.0005	0.1790	0.0153	1.2778	0.0521	0.0001	NA
HGB.ukbb_500k.sumstats.gz	0.1544	0.0503	3.0691	0.0021	0.1188	0.0121	1.2672	0.0565	0.0058	NA
HCT.ukbb_500k.sumstats.gz	0.1550	0.0484	3.2028	0.0014	0.1091	0.0101	1.2697	0.0510	0.0097	NA
MCV.ukbb_500k.sumstats.gz	-0.0870	0.0464	-1.8752	0.0608	0.2154	0.0238	1.2206	0.0777	0.0262	NA
MCH.ukbb_500k.sumstats.gz	-0.0755	0.0498	-1.5167	0.1293	0.1799	0.0234	1.1531	0.0768	0.0170	NA
MCHC.ukbb_500k.sumstats.gz	0.0156	0.0587	0.2656	0.7906	0.0321	0.0052	1.0651	0.0204	-0.0097	NA
RDW.ukbb_500k.sumstats.gz	-0.0525	0.0435	-1.2062	0.2277	0.1051	0.0105	1.1048	0.0403	0.0563	NA
PLT_COUNT.ukbb_500k.sumstats.gz	0.2126	0.0776	2.7415	0.0061	0.2521	0.0217	1.2441	0.0555	0.0509	NA
PLT_CRIT.ukbb_500k.sumstats.gz	0.2780	0.0975	2.8500	0.0044	0.1862	0.0173	1.3119	0.0678	0.0493	NA
MPV.ukbb_500k.sumstats.gz	0.0235	0.0284	0.8282	0.4076	0.3707	0.0424	1.2392	0.0931	-0.0070	NA
PDW.ukbb_500k.sumstats.gz	0.0185	0.0278	0.6646	0.5063	0.1934	0.0228	1.2368	0.0985	0.0261	NA
LYMPH_COUNT.ukbb_500k.sumstats.gz	0.0632	0.0549	1.1525	0.2491	0.0379	0.0035	1.0579	0.0132	0.0034	NA
MONO_COUNT.ukbb_500k.sumstats.gz	0.1435	0.0586	2.4494	0.0143	0.0794	0.0122	1.2020	0.0519	0.0259	NA
NEUTRO_COUNT.ukbb_500k.sumstats.gz	0.1626	0.0471	3.4512	0.0006	0.1179	0.0115	1.1721	0.0312	0.0243	NA
EO_COUNT.ukbb_500k.sumstats.gz	0.1174	0.0404	2.9045	0.0037	0.1165	0.0127	1.1614	0.0378	0.0033	NA
BASO_COUNT.ukbb_500k.sumstats.gz	0.0739	0.0454	1.6261	0.1039	0.0257	0.0030	1.0487	0.0118	0.0086	NA
RETIC_COUNT.ukbb_500k.sumstats.gz	0.0448	0.0402	1.1145	0.2651	0.0556	0.0055	1.1025	0.0279	0.0109	NA
MEAN_RETIC_VOL.ukbb_500k.sumstats.gz	-0.1637	0.0520	-3.1471	0.0016	0.1491	0.0142	1.2300	0.0588	0.0400	NA
