Name	Coefficient	Coefficient_std_error	Coefficient_P_value
HSC	1.16157578975e-08	4.74334366548e-09	0.00716556878034
MPP	1.03224010608e-08	4.95686972536e-09	0.0186509900274
B	1.78775883848e-08	9.93316781885e-09	0.0359471222167
CMP	6.53856728536e-09	4.43142148305e-09	0.0700389360003
Ery	1.61861722584e-08	1.16500838946e-08	0.08236150102
MEP	1.61466929278e-08	1.33216595522e-08	0.112744099987
LMPP	5.7638257311e-09	4.89878482186e-09	0.119681042531
CD8	1.58594925043e-08	1.41865284392e-08	0.131799246905
NK	7.33037495478e-09	6.65815021857e-09	0.135456448535
CD4	9.91154705834e-09	9.26548270387e-09	0.1423708607
Mega	1.18483097744e-08	1.4339873468e-08	0.204331356317
GMP-C	4.70197270944e-09	5.7239032183e-09	0.20569139505
mDC	2.70180799968e-09	6.54750624248e-09	0.339932675739
pDC	2.83648307274e-09	7.65539833255e-09	0.355497301154
CLP	2.16698471251e-09	6.76036958652e-09	0.374278618251
GMP-B	-1.2964314564e-09	6.86808015267e-09	0.574860259854
GMP-A	-1.60050075591e-09	8.09089319603e-09	0.578405129846
Mono	-1.04704521793e-08	7.38799568377e-09	0.92179142255
