celltype	pval	FDR	logp
HSC	0.00869443811221337	0.074911671477228	2.06075847952098
MPP	0.0101965908493384	0.074911671477228	1.99154500694417
LMPP	0.0234098973366337	0.074911671477228	1.63060049088395
CLP	0.0382486085858144	0.101996289562172	1.41738435905923
GMP-A	0.0659542654172817	0.117252027408501	1.18075711236498
GMP-B	0.0547614863840184	0.117252027408501	1.26152477237851
GMP-C	0.0643466161480143	0.117252027408501	1.19147428678423
CMP	0.0147411027861915	0.074911671477228	1.83147002556498
MEP	0.0189244581290628	0.074911671477228	1.72297654696274
NK	0.380805375663767	0.380805375663767	0.419296929498088
CD4	0.291302299903855	0.332916914175835	0.535656086496225
CD8	0.322212483141941	0.343693315351403	0.491857638173029
B	0.22309869397828	0.274583007973268	0.651502972072443
pDC	0.0815309862297286	0.130449577967566	1.08867730425344
Mono	0.144547986822018	0.192730649096024	0.839987952545223
Ery	0.126875192356754	0.184545734337097	0.896623286303983
