#HSPC_H3K27Ac_peaks Enhancers
#Created from /broad/sankaranlab/xliao/MPN/HSPC_H3K27Ac/Jianxu/rose_o/HSPC_H3K27Ac_peaks_12KB_STITCHED_TSS_DISTAL_ENHANCER_REGION_MAP.txt
#Ranked by HSPC_H3K27Ac.no_duplicates.bam
#Using cutoff of 9730.1403 for Super-Enhancers
#Created on Sep 29 2019 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	HSPC_H3K27Ac.no_duplicates.bam	enhancerRank	isSuper
24_HSPC_H3K27Ac_peak_25281_lociStitched	chr16	46386808	46435578	24	10474	131123.022	1	1
23_HSPC_H3K27Ac_peak_6768_lociStitched	chr1	235047651	235130937	23	10590	98685.5814	2	1
17_HSPC_H3K27Ac_peak_26026_lociStitched	chr16	75072100	75145116	17	8637	88035.3912	3	1
20_HSPC_H3K27Ac_peak_55785_lociStitched	chr6	6677446	6759975	20	8196	87092.8537	4	1
24_HSPC_H3K27Ac_peak_31514_lociStitched	chr18	74764660	74837155	24	9632	85703.589	5	1
16_HSPC_H3K27Ac_peak_35887_lociStitched	chr2	43384780	43447109	16	10618	83028.4609	6	1
11_HSPC_H3K27Ac_peak_28979_lociStitched	chr17	56381382	56422496	11	6607	82758.3706	7	1
6_HSPC_H3K27Ac_peak_12248_lociStitched	chr11	67036368	67055855	6	4848	82394.9334	8	1
19_HSPC_H3K27Ac_peak_11170_lociStitched	chr11	33902293	33982356	19	11296	75555.4531	9	1
13_HSPC_H3K27Ac_peak_10298_lociStitched	chr10	134177773	134261882	13	11592	69928.2226	10	1
21_HSPC_H3K27Ac_peak_67069_lociStitched	chr9	79173729	79281607	21	8348	69613.6734	11	1
17_HSPC_H3K27Ac_peak_8643_lociStitched	chr10	70787119	70862083	17	8086	69416.664	12	1
21_HSPC_H3K27Ac_peak_40825_lociStitched	chr20	10427236	10502545	21	9933	67740.4455	13	1
22_HSPC_H3K27Ac_peak_41951_lociStitched	chr20	52195097	52277172	22	9694	66817.2575	14	1
14_HSPC_H3K27Ac_peak_8161_lociStitched	chr10	42380067	42409519	14	5780	64211.2504	15	1
17_HSPC_H3K27Ac_peak_67118_lociStitched	chr9	80506461	80576465	17	6771	64011.6576	16	1
15_HSPC_H3K27Ac_peak_14473_lociStitched	chr12	11876940	11928785	15	5979	62856.878	17	1
16_HSPC_H3K27Ac_peak_37087_lociStitched	chr2	87783545	87849528	16	6387	61634.7203	18	1
16_HSPC_H3K27Ac_peak_23044_lociStitched	chr15	78326695	78375480	16	7123	59063.9995	19	1
12_HSPC_H3K27Ac_peak_35846_lociStitched	chr2	43124597	43161820	12	5212	58924.009	20	1
14_HSPC_H3K27Ac_peak_6740_lociStitched	chr1	234859278	234915210	14	6392	57800.1288	21	1
16_HSPC_H3K27Ac_peak_3842_lociStitched	chr1	145236613	145290891	16	6501	57773.5032	22	1
8_HSPC_H3K27Ac_peak_35860_lociStitched	chr2	43176676	43202866	8	3158	56318.976	23	1
21_HSPC_H3K27Ac_peak_13789_lociStitched	chr11	128523292	128604796	21	11152	55781.3376	24	1
9_HSPC_H3K27Ac_peak_44698_lociStitched	chr22	46987838	47018272	9	5024	55526.833	25	1
18_HSPC_H3K27Ac_peak_47500_lociStitched	chr3	127448752	127521170	18	8115	55233.2086	26	1
21_HSPC_H3K27Ac_peak_62726_lociStitched	chr7	142131204	142197844	21	9267	54651.464	27	1
