GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000187634	1	860260	879955	2	1	838503	0.60299	0.27326	SAMD11
ENSG00000268179	1	861264	866445	1	1	838503	0.56305	0.2867	AL645608.1
ENSG00000188976	1	879584	894689	3	1	838503	0.35746	0.36038	NOC2L
ENSG00000187583	1	901877	911245	3	2	838503	-0.28942	0.61387	PLEKHN1
ENSG00000187642	1	910579	917497	1	1	838503	0.78305	0.2168	C1orf170
ENSG00000187608	1	948803	949920	1	1	838503	-0.97896	0.8362	ISG15
ENSG00000188157	1	955503	991496	4	2	838503	1.0211	0.15361	AGRN
ENSG00000237330	1	1006346	1009687	3	1	838503	0.45319	0.3252	RNF223
ENSG00000131591	1	1017198	1051741	81	7	838503	0.83505	0.20185	C1orf159
ENSG00000162571	1	1109264	1133315	72	6	838503	1.116	0.13221	TTLL10
ENSG00000186891	1	1138888	1142071	5	1	838503	-0.50759	0.69413	TNFRSF18
ENSG00000186827	1	1146706	1149518	3	1	838503	0.69355	0.24398	TNFRSF4
ENSG00000078808	1	1152288	1167411	72	3	838503	0.34775	0.36401	SDF4
ENSG00000176022	1	1167629	1170421	1	1	838503	0.21598	0.4145	B3GALT6
ENSG00000184163	1	1177826	1182102	7	1	838503	-1.5155	0.93518	FAM132A
ENSG00000160087	1	1189289	1209265	33	4	838503	-0.43359	0.66771	UBE2J2
ENSG00000162572	1	1215816	1227409	15	5	838503	-0.29174	0.61476	SCNN1D
ENSG00000131584	1	1227756	1244989	29	6	838503	-0.50115	0.69187	ACAP3
ENSG00000169972	1	1243947	1247057	2	1	838503	-0.65723	0.74448	PUSL1
ENSG00000127054	1	1246965	1260071	7	3	838503	-1.5383	0.93801	CPSF3L
ENSG00000224051	1	1260136	1264277	4	1	838503	-1.079	0.8597	GLTPD1
ENSG00000169962	1	1266694	1270686	2	1	838503	-1.3953	0.91853	TAS1R3
ENSG00000107404	1	1270656	1284730	10	2	838503	-1.6469	0.95021	DVL1
ENSG00000162576	1	1288069	1297157	13	1	838503	-0.98873	0.8386	MXRA8
ENSG00000175756	1	1309110	1310875	3	1	838503	-0.3761	0.64658	AURKAIP1
ENSG00000221978	1	1321091	1334708	4	2	838503	-1.9441	0.97406	CCNL2
ENSG00000224870	1	1334902	1337426	7	2	838503	-1.6381	0.9493	RP4-758J18.2
ENSG00000242485	1	1337288	1342693	4	1	838503	-0.79745	0.78741	MRPL20
ENSG00000235098	1	1353800	1357149	1	1	838503	0.22035	0.4128	ANKRD65
ENSG00000160072	1	1407143	1433228	11	2	838503	-1.2952	0.90238	ATAD3B
ENSG00000197785	1	1447531	1470067	39	4	838503	0.36977	0.35578	ATAD3A
ENSG00000205090	1	1470554	1475833	5	1	838503	-1.2098	0.88681	TMEM240
ENSG00000160075	1	1477053	1510249	71	6	838503	-0.92516	0.82256	SSU72
ENSG00000215014	1	1510355	1511373	4	1	838503	0.32274	0.37345	AL645728.1
ENSG00000197530	1	1550795	1565990	1	1	838503	0.1138	0.4547	MIB2
ENSG00000189339	1	1592939	1624167	1	1	838503	0.32788	0.3715	SLC35E2B
ENSG00000008130	1	1682671	1711896	54	6	838503	-0.91057	0.81874	NADK
ENSG00000078369	1	1716729	1822495	101	10	838503	-1.0726	0.85828	GNB1
ENSG00000169885	1	1846266	1848735	11	3	838503	-1.1068	0.8658	CALML6
ENSG00000178821	1	1849029	1850712	4	2	838503	-0.81644	0.79288	TMEM52
ENSG00000142609	1	1853396	1935276	97	9	838503	-0.91196	0.81911	C1orf222
ENSG00000067606	1	1981909	2116834	280	21	838503	0.0268	0.48931	PRKCZ
ENSG00000162585	1	2115903	2144159	32	5	838503	0.91239	0.18078	C1orf86
ENSG00000269554	1	2121237	2123179	1	1	838503	-0.29525	0.6161	AL590822.2
ENSG00000203301	1	2143360	2145620	2	1	838503	-1.2507	0.89447	AL590822.1
ENSG00000157933	1	2160134	2241558	158	24	838503	-1.1394	0.87272	SKI
ENSG00000116151	1	2252692	2323146	233	35	838503	-1.1197	0.86858	MORN1
ENSG00000157916	1	2323267	2336883	33	10	838503	0.5956	0.27572	RER1
ENSG00000157911	1	2336236	2345236	21	6	838503	-0.088107	0.5351	PEX10
ENSG00000149527	1	2357419	2436969	124	19	838503	-0.45948	0.67705	PLCH2
ENSG00000157881	1	2439972	2458039	41	6	838503	0.64918	0.25811	PANK4
ENSG00000197921	1	2460184	2461684	2	1	838503	0.46289	0.32172	HES5
ENSG00000157873	1	2487078	2496821	14	2	838503	-0.050401	0.5201	TNFRSF14
ENSG00000157870	1	2517930	2522908	7	3	838503	-0.47062	0.68104	FAM213B
ENSG00000142606	1	2522078	2564481	125	6	838503	-0.6489	0.7418	MMEL1
ENSG00000215912	1	2567415	2718286	80	8	838503	0.27683	0.39096	TTC34
ENSG00000169717	1	2938046	2939465	3	1	838503	-0.2404	0.59499	ACTRT2
ENSG00000142611	1	2985732	3355185	1053	147	838503	1.0924	0.13732	PRDM16
ENSG00000130762	1	3370990	3397677	73	8	838503	-0.26189	0.6033	ARHGEF16
ENSG00000162591	1	3406484	3528059	329	55	838503	0.84688	0.19853	MEGF6
ENSG00000158109	1	3541566	3546691	10	3	838503	1.6835	0.046134	TPRG1L
ENSG00000116213	1	3547331	3569325	31	7	838503	2.542	0.005511	WRAP73
ENSG00000078900	1	3569084	3652765	186	31	838503	1.5772	0.057376	TP73
ENSG00000162592	1	3668962	3688209	54	11	838503	0.24515	0.40317	CCDC27
ENSG00000235169	1	3689352	3692546	11	5	838503	0.75267	0.22582	SMIM1
ENSG00000130764	1	3696784	3713068	66	11	838503	0.57258	0.28346	LRRC47
ENSG00000116198	1	3728645	3773778	264	19	838503	0.041552	0.48343	CEP104
ENSG00000169598	1	3773845	3801993	110	13	838503	-0.70071	0.75826	DFFB
ENSG00000198912	1	3805689	3816857	32	5	838503	1.057	0.14525	C1orf174
ENSG00000196581	1	4714792	4852594	546	81	838503	1.5974	0.055088	AJAP1
ENSG00000131697	1	5922871	6052533	358	23	838503	1.1364	0.1279	NPHP4
ENSG00000069424	1	6051526	6161253	177	27	838503	1.2533	0.10505	KCNAB2
ENSG00000268332	1	6100630	6101399	2	1	838503	0.69308	0.24413	AL035406.1
ENSG00000116254	1	6161853	6240183	232	31	838503	2.8584	0.0021289	CHD5
ENSG00000116251	1	6241329	6269449	53	9	838503	1.9718	0.024315	RPL22
ENSG00000158286	1	6265535	6281359	35	5	838503	0.43212	0.33283	RNF207
ENSG00000116237	1	6281253	6296032	30	5	838503	0.71021	0.23879	ICMT
ENSG00000173673	1	6304252	6305638	2	1	838503	-1.3604	0.91315	HES3
ENSG00000158292	1	6307406	6321035	28	2	838503	-0.75161	0.77386	GPR153
ENSG00000097021	1	6324329	6454451	365	27	838503	0.45882	0.32318	ACOT7
ENSG00000069812	1	6472478	6484730	31	6	838503	-1.2029	0.88549	HES2
ENSG00000187017	1	6484848	6521430	67	6	838503	-1.9673	0.97543	ESPN
ENSG00000215788	1	6521211	6526255	9	3	838503	-1.482	0.93083	TNFRSF25
ENSG00000171680	1	6526152	6580121	101	15	838503	-1.8205	0.96566	PLEKHG5
ENSG00000162408	1	6581407	6614595	107	3	838503	-0.17758	0.57047	NOL9
ENSG00000173662	1	6615241	6639817	45	7	838503	0.036309	0.48552	TAS1R1
ENSG00000204859	1	6640061	6649340	10	5	838503	0.33886	0.36736	ZBTB48
ENSG00000162413	1	6650784	6674667	41	9	838503	0.084005	0.46653	KLHL21
ENSG00000116273	1	6673745	6684093	22	5	838503	-0.059285	0.52364	PHF13
ENSG00000041988	1	6684926	6695646	26	5	838503	0.76014	0.22359	THAP3
ENSG00000007923	1	6694228	6761984	126	14	838503	1.2881	0.098854	DNAJC11
ENSG00000171735	1	6845384	7829766	2285	230	838503	-0.50113	0.69186	CAMTA1
ENSG00000049245	1	7831329	7841492	34	9	838503	1.1492	0.12524	VAMP3
ENSG00000049246	1	7844380	7905237	215	27	838503	1.2535	0.10501	PER3
